id	worktree	branch	state	terminal	depends_on	dependency_condition	document	progress	source	note	closed_or_delivered_at
108	runtime-r1	feature/env-provider-runtime	PARTIAL	OUTPUT_CAP_PARAMETERIZED_PARTIAL		与 107 同改一批模板 ⇒ 串行，不同时改同一文件。	agent-box-runtime-round1:docs/implementation/work-orders/108-output-cap-deployment-parameter.md@d564604	 ⇒ **轮 124**：仍 `PARTIAL`（A 的排期观察点名它；它与 `096` 的 v2 模板翻转**同文件须同批改**）。	AQ-0004（用户已批准）+ R-0021 ④	"`maxTokens: 64` 从 pi/dsh/hermes 生产模板参数化到部署（真实使用按声明/宽松缺省；门显式钉 64）；这是验收里""回答被砍""的根因。 ⇒ R-0051 ③：三家生产模板输出上限已从写死 64 解耦为宽松缺省 8192（DEFAULT_OUTPUT_TOKEN_LIMIT，进模板＋42-D prepared）⇒ 收口剩部署声明字段与终态行"	2026-09-19
113	env-provider	feature/env-provider-v1	PARTIAL	WIRE_ARTIFACT_PUBLISHED_PARTIAL		与 105 的重锁面同族（105 已完成、对已登记）；与 runtime 线共享面 ⇒ 串行。	agent-box-env-provider:docs/implementation/work-orders/113-publish-wire-artifact-and-exchange.md@6e6d72b	 阶段 1–4（`df115c7` 13:43）：后端工件发布、旧副本处置、口径与对表；收口待提交。	AQ-0008（用户选 1）＋ R-0032 ④（审阅者 AUD-B-003）	后端发布 64 方法工件 + 旧副本（33 方法）停止冒充当前 + 生成/比较口径写进 wire-review.md（门必须显式指路径）+ 与桌面 settings 树对表（跨树只读）。 ⇒ @轮107 改判：那条跨树字节对表腿**已由后端审阅者从审阅者侧闭合**（findings.json:136，cmp＝BYTE-IDENTICAL、双方 c4255b31…）⇒ 我不重跑（§2c 重复计算）。**但本单仍 PARTIAL**：该对已被 110 的 pauseReason 重锁取代 ⇒ 今后**任何对表必须写明「跑在哪一对摘要上」**，这条腿归 QA 的层（R-0040 ① 跨树回归唯一负责	2026-09-19
114	runtime-r1	feature/env-provider-runtime	DISPATCHED			独立；其 UI 门归 100 的逐家单元。	agent-box-runtime-round1:docs/implementation/work-orders/114-qoder-family-integration.md@0221424		R-0038（用户查证要求）	Qoder CLI ＝独立一家（账号制登录、自成一套原生落点）；六件事：打包挂载 / 原生配置物化+隔离 / 账号登录 / 跨平台放置 / 缺席即失败的门 / 未知字段如实登记；wire 不变（目录数据驱动）。	2026-09-19
116	runtime-r1	feature/env-provider-runtime	DISPATCHED	WIRE_500_FORK_PARITY_DONE		A 树 `bca77821` 已带正确形态与守卫测试（只读核验即成立，谓词已成立）。	agent-box-runtime-round1:docs/implementation/work-orders/116-wire-500-fork-parity.md@7c467e8		QA-008 (v2) 的 runtime 侧 + R-0052 ① + ops 路由更正（R-0054 ⑧a 写「A 线」，实测缺陷活体在本树）	**判据（实测）**：本树 `wire/handlers.py:1196`/`:1244` 把内部码当 family 传 ⇒ 该组合下必 500（live 2/2，QA 在 `093d36c` 快照复现）；守卫测试本树 0 个 ⇒ 套件永不红。**必须在**本树**就地修**：`R-0035` 合并冻结 + 验收环境跑分支源码 ⇒ 「等合并」不可判定。**一次性例外**（先例 108 的 `234fa08`，已写进本树章程 §2）：只准动那两处调用点 + 带守卫测试；`wire/errors.py` 与 wire 其它内容仍禁写（闭合归 A 的 `115`）。**路由更正**：R-0054 ⑧	2026-09-19
118	env-provider	feature/env-provider-v1	DISPATCHED	ARTIFACT_ABSENCE_IS_NOT_GREEN_DONE			agent-box-env-provider:docs/implementation/work-orders/118-artifact-absence-is-not-green.md@c175762		QA-010 + R-0054 ①（QA 线冻结后的面归属）	同一 pinned sha 两种结论（缺工件 18 failed/961 passed/21 skipped ⇄ 补工件 1 failed/999 passed/0 skipped）⇒ 21 条 skip 是**静默降级**。本单只做**显形**（显式失败或「降级不计绿」）+ 计数自报「Worker 工件在/不在」+ 反例门；**版本控制策略（哪些工件该进库）交回 ops/I**。实测：A 树有 target/{debug,release,musl}、runtime 树 target 空。**排序**：115/117 之后、103 之前（账不可信会让 AQ-0009 的判据失效）。	2026-09-19
119	env-provider	feature/env-provider-v1	DISPATCHED	LOAD_INDEPENDENT_COUNTER_EXAMPLE_DONE			agent-box-env-provider:docs/implementation/work-orders/119-load-independent-counter-example.md@c175762		QA-011 + R-0054 ①	`tests/server/test_first_run_lock.py:180` 的反例门用**墙钟区间是否相交**当判据 ⇒ 机器一忙就**假红**（隔离 5 passed 114s/132s ⇄ 加 8 busy loop 1 failed/4 passed 109s）⇒ 「绿不绿」被交给调度器。改判据为**结构事实**，反例仍必须能咬。**低优先，排今晚队列之后**。	2026-09-19
120	runtime-r1	feature/env-provider-runtime	PARTIAL	CREDENTIAL_MISSING_TYPED_FAILURE_PARTIAL			agent-box-runtime-round1:docs/implementation/work-orders/120-credential-missing-typed-failure.md@8a968b7	**轮 123 收口（runtime，据我轮 122 的优先级覆盖）**：**终态 `CREDENTIAL_MISSING_TYPED_FAILURE_DONE`（runtime 射程）**。**执行者的如实边界**：转录的 `reason` 字段＝**既有 wire 形状的大写 code** ⇒ 本单把 `EXECUTION_FAILED` 升到**具名** `CREDENTIAL_NOT_AV	ACC-T6（A 第一手真机链 §1 + gate-log「新开的前置 (b)」）	**主路径缺陷**：A 在 18790 真发一句 ⇒ `KeyError: 'credential_e08793….dpapi'`（`bootstrap/runtime.py:830` → `storage/secrets.py:159` 裸取键）⇒ dispatch 歧义 ⇒ 转录只剩 `execution.state: failed, reason: EXECUTION_FAILED`（无原因、无动作）。要求：缺凭据在 dispatch **之前**类型化 + 原因进转录 + 反例门。**红线已写明**：不许把真 key 种到别的 credential id（该 id 被 8 条用户网关记	2026-09-19
121	runtime-r1	feature/env-provider-runtime	DISPATCHED	MIGRATION_TEST_IS_NOT_DECORATIVE_DONE			agent-box-runtime-round1:docs/implementation/work-orders/121-migration-test-is-decorative.md@8a968b7	轮 116：**修订 v2 已投递**（runtime 树 `4f16c56`）——加一行 G5：把 Work Core 侧那条「升级⇔全新安装」等价门**从手工实验变成常设可跑**（种子＝审阅者 W1–W4：全新安装 ledger=[1..9]/16 表/9 索引；004 形状+真数据升到 9 结构 DRIFT=clean；`inputs_digest` 不许被旧摘要冒充；三种根幂等）。另：`0	AUD-B-006（confirmed/low）	唯一覆盖「升级」的测试是装饰（`test_stage_a_server.py:279` 手写一条**从未发布**的 v1 形状，只断 `version==18` ＋两个索引名，一列都不看）。要求：改定性 + 真咬结构（受控反例）+ v1 死分支二选一处置。**低优先**、与 `092` 的迁移测试格**同片**（serialize_with 092/120）。**不许**顺手改已发布版本迁移（`AUD-B-007` 已判 15/15 等价、`rejected`）。	2026-09-19
122	runtime-r1	feature/env-provider-runtime	PARTIAL	TRUNCATION_VISIBLE_PARTIAL			agent-box-runtime-round1:docs/implementation/work-orders/122-truncation-must-be-visible.md@fa9f2a0	" ⇒ **轮 125 收口判定（runtime，一手）**：**终态 `TRUNCATION_VISIBLE_PARTIAL`**——执行者逐层读后判定属**""执行段手里没有这个事实""**侧（非""有而不说""）：Worker/ACP 完成事件**不带 stop reason**（A 的 T6-4 键扫描 `trunc/stop/finish/max/cap` ＝0 佐证）；`_complete`（`"	ACC-T6-2 §Y2 / §9 的 T6-4（A 第一手）	**主路径缺陷**：要 30 条成语只到 4 条（`text_len=89`、句中停），而整份快照里含 `trunc/stop/finish/max/cap` 的键**＝0 个**、`execution.state` 仍 `completed` ⇒ 系统不知道自己把话砍了。**与 `108` 分开**（108＝量太小；本单＝砍了不说）。**若必须新增 wire 字段 ⇒ 阶段 1 交回 ops**（触发 `AQ-0008`/`113` 的两仓重锁链，另开字段单）。主路径优先＝同 `120`。	2026-09-19
123	env-provider	feature/env-provider-v1	DISPATCHED	TRANSPORT_BOUNDARY_WALL_DONE			agent-box-env-provider:docs/implementation/work-orders/123-transport-boundary-wall.md@906d741		115 收口交回（第三道墙）	`115` 把错误族位那一族在 **wire 内部**闭合了（两道墙＋两条真跑反例），但**边界**没墙：`transport/http/app.py` 只处理四条 `WireError` 路径 ⇒ 非 `WireError` 的意外异常（路由/信封/中间件/bridge）**仍逃成裸 500**。本单补**第三条墙**（`except Exception` → 合规错误对象；`internalCode` **仅异常类型**，`R-0011`）。**只加兜底**，既有四条路径一个字不改（`115` 抓到过「墙把 WireError 也吞了」的回归）。排 `087` 后、与 `115` 同级。	2026-09-19
124	env-provider	feature/env-provider-v1	DISPATCHED	PROVIDER_MODEL_WRITE_WHITELIST_DONE			agent-box-env-provider:docs/implementation/work-orders/124-provider-model-write-whitelist.md@906d741		092 收口交回 ①	`providerModels.create/update` 的白名单落后于 canonical 词汇：实读 `handlers.py:1388` 的 `wireApi` **只有两值** `{chat_completions,responses}`；两个写入口在 `:1237`/`:1342`。要求：`harness` 可选 ＋ `protocols[]`/`endpoints{}`/`models[].{protocols,capabilities}` 进白名单；`wireApi` 扩到 **canonical 四值** ＋ **旧两值归一**；canonical 取值**引用** run	2026-09-19
125	env-provider	feature/env-provider-v1	DISPATCHED	CONFIG_DESCRIBE_SLOT_PROJECTION_DONE			agent-box-env-provider:docs/implementation/work-orders/125-config-describe-slot-projection.md@906d741		092 收口交回 ③（wire 半）	`R-0013` 追加（v2 多槽，G8/G9/G10）的 **wire 半**：`config.describe`（`:1444` → `_controls` `:1480` → `model_slot` 控件 `:1507`/`:1514`）要能**逐槽**投影（每槽可见、`controlId` 不重不漏）＋ profile **槽表引用形状**稳定可核；与 G8/G9/G10 逐条对应写进报告。**runtime 侧描述符 `model_controls` 随后补、不阻塞本单**。排 `124` 后。	2026-09-19
126	runtime-r1	feature/env-provider-runtime	DISPATCHED	UNION_SEMANTICS_RECONCILED_DONE			agent-box-runtime-round1:docs/implementation/work-orders/126-union-semantics-reconciliation.md@f4a0756	" ⇒ **轮 126**：**阶段 1（并集语义冲突一手核：A112×092 update）已提交 `5f2ea2b`**（21:51，在本单与 `134` 之间；`134` 更靠前，见章程覆盖）。 ⇒ **轮 127**：**阶段 2/3 已提交 `2474ed0`**（""model…""）。**注意排序**：按章程覆盖，`135`/`136`/`134`（主路径/约束生效一族）**先于**本单；"	QA-014（confirmed/高，QA 线 T4 并集回归第一次真跑）	**并集第一次真跑＝不绿**：base＝runtime `56af017` 合入 A `150c186`，`src/**`＋`tests/**` 冲突 **1** ＝ `model_configs/service.py::ProviderModelService.update`（A `112` 的 KEEP 哨兵 vs runtime `092` 的 normalize/validate，**互补却压在同一段 ⇒ 谁赢谁丢对面一条守卫**）。**U-A** `73 failed/1052 passed/21 skipped`（EXIT=1）、**U-R** `48 failed/1076 pa	2026-09-19
127	runtime-r1	feature/env-provider-runtime	DISPATCHED	GATE_SCRIPT_PARITY_DONE			agent-box-runtime-round1:docs/implementation/work-orders/127-gate-script-parity.md@f4a0756		QA-015（confirmed/中，口径过期）	**门脚本的「两份真相」已经发生**：A 树 **16** 个门（独有 `ui_gates_89_leak_check.py`）、本树 **15**；共同 15 个里 **13 md5 相同 / 2 已分叉**（`dsh-production-chain-gate.py`、`pi-production-chain-gate.py`，**本树侧改**），而分叉族正是并集 20 条环境红同族的 pi/dsh 生产链。要求：**归一 to A（owner，`QA-004`）或写清有据分叉交回**；`status.md` 记**可复算指纹行**（命令＋md5）供 QA 线每轮比较。**不许把差异藏起来	2026-09-19
128	env-provider	feature/env-provider-v1	DISPATCHED	WIRE_SEQ_SPACES_DONE			agent-box-env-provider:docs/implementation/work-orders/128-wire-seq-numbering-spaces.md@1bec4a4		AUD-B-010（confirmed/medium）	wire 帧的 `seq` 在**两个数字空间**间跳：`thought.delta`/`plan.updated`/`mode.updated`/`usage.updated` **4 类真产帧事件不参与 `wire_seq` 编号** ⇒ 按 `seq` 排序/去重的客户端**丢正文与工具卡**（与 `server.hello` 漏报 37 法同族：声明面≠实际面）。要求：单一编号空间，或两套但**显式可判定**；门＝交替序列不丢帧（退回即红）。排 `123/124/125` 后。	2026-09-19
129	env-provider	feature/env-provider-v1	DISPATCHED	IMPORT_ASSET_REQUEST_ID_DONE			agent-box-env-provider:docs/implementation/work-orders/129-import-asset-request-id.md@1bec4a4		AUD-B-012（confirmed/medium）	`accounts.importAsset` 的**已锁契约要求 `requestId`**，处理函数**一次都没用它**（同族 `create`/`bind` 都送进幂等层）⇒ **重试不回放、不给 `CONFLICT_REQUEST`**；且 `write_asset` 每次新铸 locator ⇒ 幂等键天然对不上。要求：接入同一条幂等路径＋locator 稳定＋门（同 requestId 两次⇒回放）＋三法对照表。排 `128` 后。	2026-09-19
130	runtime-r1	feature/env-provider-runtime	DISPATCHED	SIDECAR_PROCESS_TREE_REAPING_DONE			agent-box-runtime-round1:docs/implementation/work-orders/130-sidecar-process-tree-reaping.md@969f638		AUD-B-013（confirmed/medium）	`LocalProcessLauncher` **不带 `start_new_session`**，`close()` 的 wait→terminate→kill **只及直接子进程** ⇒ sidecar spawn 的 harness 进程**变孤儿继续跑**（违反「收得掉进程树」不变式；**验收现场直接可见**：残留进程污染后续窗口/端口/数据根）。要求：独立会话/进程组＋整组信号（阶梯不变）＋门验**孙进程消失**（退回即红）＋残留检测/清理的可跑步骤。`AUD-B-014`（跨机路径）`needs_validation` ⇒ 只登记不动手。与 `120/122` 同档。 **第 14	2026-09-19
131	runtime-r1	feature/env-provider-runtime	DISPATCHED	SANDBOX_NETWORK_POSTURE_ONE_SOURCE_DONE			agent-box-runtime-round1:docs/implementation/work-orders/131-sandbox-network-posture-one-source.md@d3802aa		AUD-B-015（confirmed/medium）	沙箱网络姿态**两处默认值相反且无映射**：声明侧 `SandboxRef.network_mode` 默认 `none`（`protocol.py:202`）、真正递下去的 `SidecarRoomRequest.invariants.network_mode` 默认 `inherit`（`sandbox_port.py:92`/`:128`），`src/` 内显式设值 **0 处**、两个生产调用点都不传 `invariants=` ⇒ **线上永远 inherit**（`none` vs `inherit` 实测不一致）。⇒ provider 那条「给不了就类型化拒绝」的**诚实门线上走	2026-09-19
132	env-provider	feature/env-provider-v1	DISPATCHED	DECLARATION_VS_EXECUTION_GATE_DONE	128(agent-box-env-provider tree：wire seq 单一编);130(agent-box-runtime-round1 tree：sidecar 进程);131(agent-box-runtime-round1 tree：沙箱网络姿态同源落地)		agent-box-env-provider:docs/implementation/work-orders/132-declaration-vs-execution-reconciliation-gate.md@b195206		"AUD-B-015 ③（归批建议，审阅者自述""形制归纳、非发现""）"	**批末对账门**：审阅者把三条独立发现归纳成同一形状「**声明／判定／执行各记一本账**」——`128`（有没有帧 vs 有没有编号）、`130`（四处 Popen vs 三种回收形制，一处漏接）、`131`（网络姿态声明 vs 递给 provider 的默认）。本单做**一道可跑、会咬、可复算**的机械对账门（**单一入口**，`097` 对 `hello` 那类对账一并纳入），三族各一个受控反例。**只做对账**：不改三张单的实现、不复制它们的门。**批末**（depends_on 三条）。	2026-09-19
133	runtime-r1	feature/env-provider-runtime	DISPATCHED	SUBAGENT_ROSTER_TRUNCATION_VISIBLE_DONE			agent-box-runtime-round1:docs/implementation/work-orders/133-subagent-roster-truncation-visible.md@de8d8f1		AUD-B-017（confirmed/low）	`list_subagents` 两处上限**静默截断**（描述 >160 直接切片、名册 >32 直接 `roster[:32]`，都不记截断事实），而 `65` 号单 `:35` 明确要求「超限记截断事实」；同仓 hook 侧有做对的对照（`server_hook_triggers.summary_truncated`，本树 `hooks/triggers.py:81,114`）。实现位置：`profiles/subagents.py:63`（`resolve_roster`）、`execution/delegation.py:64`（`list_for`）。**ops 已裁**（审阅者点	2026-09-19
134	runtime-r1	feature/env-provider-runtime	DISPATCHED	TERMINAL_REASON_CONSUMER_DONE			agent-box-runtime-round1:docs/implementation/work-orders/134-terminal-reason-consumer-side.md@ee498c3		122 的收口交回（执行段手里没有该事实）＋ ops 拆单	**消费侧**（拆单）：`122` 一手判定「执行段**手里没有**截断这个事实」（Worker/ACP 完成事件不带 stop reason；`_complete` 无条件 `SUCCEEDED` 且整块塞 `nativeResult` 从不解析；`complete_turn` 不写 `terminal_reason`；而下游 `wire/projection.py:173` **已有** `reason = terminal_reason or error_code`）。本单：**读到 `run.result.stopReason` 就用**（**缺席 ⇒ 与今天逐字相同**）、经 `co	2026-09-19
135	runtime-r1	feature/env-provider-runtime	DISPATCHED	TYPED_CODE_ON_LIVE_LEG_DONE			agent-box-runtime-round1:docs/implementation/work-orders/135-typed-code-must-reach-the-live-leg.md@69624b0		A 的第 3–4 次真机复算（d8fba5a）后 ops 转单（120 的真腿缺口）	"`120` 的修法**在分支里且在本层做对**（`storage/secrets.py:28-34` 的 `SecretLocatorUnavailable`、`bootstrap/runtime.py:855`；G1–G3 绿），**但 A 在更晚的树上真机 3/3 读到的仍是泛码** `{""state"":""failed"",""reason"":""EXECUTION_FAILED""}`（`executions.list` 也无不具名码）。**缺口在""真出去的那条腿""**：`work_core/services.py:206-217` 的 `except Exception` 把码拼进消息（`f"""	2026-09-19
136	runtime-r1	feature/env-provider-runtime	DISPATCHED	CHILD_LIMITS_ON_PRODUCTION_CALL_DONE			agent-box-runtime-round1:docs/implementation/work-orders/136-child-limits-reach-the-production-call.md@3e2241b		AUD-B-018（confirmed/medium）	`G2`「可选参数**只能收紧**、不能放宽子 profile 约束」的**判定与两条码都在**（`SUBAGENT_PERMISSION_WIDENED`/`SUBAGENT_MODEL_WIDENED`），**但生产调用点从不传 `child_limits`** ⇒ 审阅者实测：**同一份超限参数在生产形态下 `ACCEPTED`**，只有**手工传入**才 `REJECTED` ⇒ 约束在生产上**等于不存在**。要求：调用点**传** `child_limits`（写清派生规则）或改成不给就构造失败；**门必须驱动生产路径**（真实委派链）＋ 反例（退回不传必红）；收紧仍按既有语义接受	2026-09-19
137	runtime-r1	feature/env-provider-runtime	DISPATCHED	WORKER_STOP_REASON_FIELD_DONE	134(agent-box-runtime-round1 tree：消费侧（读到 sto)		agent-box-runtime-round1:docs/implementation/work-orders/137-worker-stop-reason-field.md@8fe7aa1		AQ-0013 经用户批准（R-0064）＋ 122 的字段需求交回	**生产侧**（`R-0055` 当初刻意不动 schema；本条是**获批后**正面处理它点名的两道守卫）：在**完成结果**上**只增** `stopReason`（值取 **ACP 既有四值** `end_turn`/`max_tokens`/`max_turn_requests`/`refusal`，**不新造词**）；`workers/**` **真的**填值（因输出上限被砍 ⇒ `max_tokens`，正常 ⇒ `end_turn`，**不许猜**）；`sidecar.py` 结构化解析进消费路径（与 `134` 对齐）；**真链门**（worker→sidecar→`_comp	2026-09-19
P56	desktop-chat	feature/agentbox-desktop-product	DISPATCHED	THOUGHT_DURATION_FROM_WIRE_DONE			agent-box-desktop-next-wsl-round1:docs/desktop-product-delivery/work-orders/P56-thought-duration-from-wire.md@e7745e46		AUD-F-032（confirmed/low）	转录里的「Thought for N」用**客户端秒表**（首渲染→闭合），而服务端 `startedAt`/`endedAt` **就在上一行已解析**、且该数值**无测试钉住** ⇒ 重放/恢复/渲染节流时**界面时长与 wire 记录不符**。要求：时长**以 wire 为准**、缺字段时**显式降级**（不静默用秒表冒充同一形状）、**重放/节流下仍相等的门**（退回秒表必红）。**`AUD-F-031` 已 `rejected`**（`P35` 阶段 2–3 已实现且双向有测试，别重复报）。**不插队**。	2026-09-19
P52	desktop-settings	feature/agentbox-desktop-settings	DISPATCHED	REDUCED_MOTION_LOADER_DONE			agent-box-desktop-settings-round1:docs/desktop-product-delivery/work-orders/P52-reduced-motion-loader.md@74c9a27d		AUD-F-028（confirmed/low）	合同指定为**唯一加载原语**的 `Loader` 用 **rAF 每帧直写 SVG 属性**做无限循环，**不查 `prefers-reduced-motion`**、**不受 CSS 兜底约束** ⇒ 用户开了「减弱动态效果」照样转；`AnimatedInt` 同族。要求：reduced 时不启环、渲染静态末帧（标签不变）＋ 门用**可数事实**（emulate reduce ⇒ rAF 调用次数＝0）。**不插队**。	2026-09-19
P54	desktop-chat	feature/agentbox-desktop-product	PARTIAL	MEDIA_URL_TOKEN_TO_HEADER_PARTIAL			agent-box-desktop-next-wsl-round1:docs/desktop-product-delivery/work-orders/P54-media-url-token-to-header.md@46913ff6	 ⇒ **轮 128**：收到执行者的形态交回（经 settings 侧同名单）⇒ **ops 裁定形态**（见 `revisions`）：优先两树既有的 `hermes-media://`，否则异步 blob 且两树同形。	AUD-F-030（needs_validation）＋ 用户拍板「立即当缺陷修」	**安全相邻**：`apps/desktop/src/lib/desktop-fs.ts:294` 把 `conn.token` 拼进 `…/api/files/download?path=…&token=…` 并作 `<img src>` **落 DOM** ⇒ 凭据材料进 URL（历史/日志/代理/Referer 面）。**用户 21:2x 拍：立即当缺陷修＋顺带补证两个事实**。修法＝仓内已有更安全同族通路（受管 `Authorization` → `blob` → `createObjectURL` → `revoke`）＋**grep 门**（`src/` 禁止拼 token；**W	2026-09-19
P55	desktop-settings	feature/agentbox-desktop-settings	PARTIAL	MEDIA_URL_TOKEN_TO_HEADER_PARITY_PARTIAL	P54(agent-box-desktop-next-wsl-round1 tree：P)		agent-box-desktop-settings-round1:docs/desktop-product-delivery/work-orders/P55-media-url-token-to-header-parity.md@8e9080b4	"**轮 128（执行者阶段 1 交回，`42245f47`／本树 status:24）**：一手确认 `desktop-fs.ts:294` 把 bearer 拼进 URL，**且 `media.remote.test.ts:61-69` 把该形状当期望值**（连编码一起钉住）。它**没有盲选通路**：本单硬要求""与聊天树逐字同形""，而`blob/createObjectURL/revoke` 是"	AUD-F-030（同源副本）＋ 用户拍板「立即当缺陷修」	ops 实测：`desktop-fs.ts:294` 那处在**两棵桌面树各有一份逐字相同的副本**（`R-0035` 合并冻结 ⇒ 分支源码就是产品）⇒ **修一棵不等于另一棵安全**。本单把**本树那份**改成与 `P54` **同形**（受管头部→blob→revoke）＋同形 grep 门 ＋ 与 `P54` 的**逐字对表**；**不重复发明**（以 `P54` 落地形态为基准，谓词未成立就先写明等待）。**插队优先**。	2026-09-19
P53	desktop-chat	feature/agentbox-desktop-product	DISPATCHED	REVIEW_FILE_TREE_KEYBOARD_DONE			agent-box-desktop-next-wsl-round1:docs/desktop-product-delivery/work-orders/P53-review-file-tree-keyboard.md@12fd5f59		AUD-F-027（confirmed/medium）	Review 文件树**整片只能鼠标操作**：展开/选择/打开三类行＝**裸 `div onClick`**，无 `role`/`tabIndex`/键盘处理器；另有一处 `aria-selected` 挂在**无 role 的 div**（无效 ARIA）⇒ 只键盘用户打不开 Review。二选一修法（复用 `files/tree.tsx` 那套／最小修法补 role+tabIndex+Enter/Space+方向键）＋**纯键盘夹具门**＋把清单 `I3` 从「待验」改**实判**。**不插队**。 **修订（`7a49f1cb`）**：并入 `AUD-F-036`（confirmed/l	2026-09-19
P51	desktop-settings	feature/agentbox-desktop-settings	DISPATCHED	DESIGN_CONTRACT_GATES_DONE			agent-box-desktop-settings-round1:docs/desktop-product-delivery/work-orders/P51-design-contract-gates-that-do-not-exist.md@80220fe0		AUD-F-024 + AUD-F-021（前端审阅者第 69 轮，穷举审门）	审阅者把「审门」做成**穷举**（全仓 10 个磁盘扫描门逐个核），抓到两条「**文档有准则、门不存在／文档指空气**」：F-024＝`DESIGN.md` 写着 **No literals in JSX** 却**全仓无门**；F-021＝`DESIGN.md §Layout` 把 gutter 常量指到**不存在的** `src/app/layout-constants.ts`（真身 `src/lib/layout-constants.ts:9`，且 overlay 的 ×2/3 收紧是**刻意**）。本单：补两条门（含「DESIGN.md 反引号路径必须 `ls` 得到」这条便宜机械门）	2026-09-19
P48	desktop-settings	feature/agentbox-desktop-settings	PARTIAL	I18N_CATALOG_INTEGRITY_PARTIAL			agent-box-desktop-settings-round1:docs/desktop-product-delivery/work-orders/P48-i18n-catalog-integrity.md@06b2984c	**轮 157 对账（ops 一手读执行者提交 `32fabc41`）**：**阶段 7b 收口**，四项齐并如实记数——`tsc` **0**／`lint` **0 error·206 warning**／`build` **通过**／`vitest` **1015 files·4 failed**（4 红全为 **P34-stage3 已登记的 electron 真回环族**，判据三条可核对：	AUD-F-011/013/015/018（四条 confirmed）	四条**同族**（目录与合同自洽）一次收口：F-011（zh 6 条 keybinds 渲染成内部 id、zh 缺 19 条 fieldLabels、ar 缺 8 条 composer 占位符 + 死键）、F-013（`DESIGN.md` §i18n 写 4 个 locale，实际 6）、F-015（文件树两行硬编码英文字面，含 `DESIGN.md` 禁用的 `Loading…`）、F-018（`settings.fieldLabels/fieldDescriptions` 一整棵 typed 子树无消费方 + 两条假绿测试）⇒ 加**穷举门**（在册动作 × 六 locale、死键＝0、	2026-09-19
P49	desktop-settings	feature/agentbox-desktop-settings	DISPATCHED	NO_NATIVE_TITLE_GATE_REAL_DONE			agent-box-desktop-settings-round1:docs/desktop-product-delivery/work-orders/P49-no-native-title-gate-has-two-holes.md@e28f7863		AUD-F-019（confirmed/medium，前端审阅者第 66 轮）	`DESIGN.md §Buttons` 点名的 `title=` 门**绿着放过 25 处真实违规**：① 扫描根=`resolve(__dirname,'../..')` 落到 `src/components`（自述却是 under src/）⇒ 456/759 个 `.tsx` **从不被读**；② 正则 `[^>]` 遇属性里的 `=>` 就断（活样本 `user-message.tsx:555` 捕获串停在 `onClick={event => {`，`title=` 在 `:563`）。规模：根内 10 处（仅因正则漏掉）＋ 根外 15 处。要求：根改**派生**写法、换 brac	2026-09-19
P50	desktop-settings	feature/agentbox-desktop-settings	DISPATCHED	CATALOG_EMPTY_VS_UNDECLARED_DONE			agent-box-desktop-settings-round1:docs/desktop-product-delivery/work-orders/P50-catalog-empty-vs-undeclared.md@893d1134	 ⇒ **轮 121**：用户拍「沿用执行者保守处置」⇒ 本单按原样执行（文案**仍为提案**，不许当成定稿；不许改 `fromService` 口径）。	P46 阶段 1 交回（ops 定归属＝settings 线）	`harnessCatalog` 键**无条件发**（`handlers.py:438-443`）⇒ 裸 Server/挂载不全是『在场但空』⇒ 前端走真值分支（`fromService:true`、`entries:[]`）、`:861` 标注不渲染 ⇒ 用户看到**空下拉＋零解释**（P40/P43 同款静默）。本单只做**诚实**那一半：两态（权威的空 vs 没声明/无法断定）可区分 + 可读说明 + 反例门；**文案为提案待用户/I 否决**；**不改** `fromService` 二值口径与投影形状（那是 `P39` 的合同，要改须交回）。**低优先不插队**；serialize_	2026-09-19
P47	desktop-settings	feature/agentbox-desktop-settings	DISPATCHED	SHARED_TESTS_HAVE_A_RUNNER_DONE			agent-box-desktop-settings-round1:docs/desktop-product-delivery/work-orders/P47-shared-package-tests-have-no-runner.md@f4b8c212		QA-012 + R-0054 ①	`apps/shared/src/{json-rpc-gateway-replay,skill-scaffold}.test.ts` **没有任何 runner 会跑**（`apps/shared/package.json` 无 test script；`apps/desktop/vitest.config.ts:10/26` 两个 project 的 include 都不含 apps/shared）⇒ 比 skip 更安静的**假覆盖**。要求给 runner 或显式登记「不跑」，并加「应当被跑清单 × 实际在场清单」的差集反例门。**低优先，排在 P43 阶段 5 / P46 之后**；*	2026-09-19
